"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"115","2020/08/23",36,0,8277,66,450,450,694,0.000887992659174857,3.86223700982178e-06,4.82779626227722e-05,4.82779626227722e-05,7.44553468004531e-05,9321023
"116","2020/08/24",34,0,8311,66,440,440,686,0.000891640327461911,3.6476682870539e-06,4.72051190089328e-05,4.72051190089328e-05,7.35970719093816e-05,9321023
"117","2020/08/25",35,1,8346,67,434,434,681,0.000895395280110348,3.75495264843784e-06,4.65614128406292e-05,4.65614128406292e-05,7.30606501024619e-05,9321023
"118","2020/08/26",33,0,8379,67,429,429,673,0.000898935664036018,3.54038392566996e-06,4.60249910337095e-05,4.60249910337095e-05,7.22023752113904e-05,9321023
"119","2020/08/27",34,0,8413,67,424,424,707,0.000902583332323072,3.6476682870539e-06,4.54885692267898e-05,4.54885692267898e-05,7.58500434984443e-05,9321023
"120","2020/08/28",36,1,8449,68,420,420,704,0.000906445569332894,3.86223700982178e-06,4.50594317812541e-05,4.50594317812541e-05,7.55281904142925e-05,9321023
"121","2020/08/29",32,0,8481,68,416,416,654,0.00090987866889718,3.43309956428602e-06,4.46302943357183e-05,4.46302943357183e-05,7.01639723450956e-05,9321023
"122","2020/08/30",0,0,8481,68,382,382,610,0.00090987866889718,0,4.09826260486644e-05,4.09826260486644e-05,6.54434604442023e-05,9321023
"123","2020/08/31",69,0,8550,68,419,419,638,0.000917281289832672,7.40262093549174e-06,4.49521474198701e-05,4.49521474198701e-05,6.84474225629526e-05,9321023
"124","2020/09/01",33,0,8583,68,417,417,633,0.000920821673758342,3.54038392566996e-06,4.47375786971022e-05,4.47375786971022e-05,6.79110007560329e-05,9321023
"125","2020/09/02",36,1,8619,69,416,416,630,0.000924683910768164,3.86223700982178e-06,4.46302943357183e-05,4.46302943357183e-05,6.75891476718811e-05,9321023
"126","2020/09/03",35,0,8654,69,413,413,625,0.000928438863416601,3.75495264843784e-06,4.43084412515665e-05,4.43084412515665e-05,6.70527258649614e-05,9321023
"127","2020/09/04",36,0,8690,69,413,413,625,0.000932301100426423,3.86223700982178e-06,4.43084412515665e-05,4.43084412515665e-05,6.70527258649614e-05,9321023
"128","2020/09/05",34,0,8724,69,413,413,625,0.000935948768713477,3.6476682870539e-06,4.43084412515665e-05,4.43084412515665e-05,6.70527258649614e-05,9321023
"129","2020/09/06",33,1,8757,70,411,411,626,0.000939489152639147,3.54038392566996e-06,4.40938725287986e-05,4.40938725287986e-05,6.71600102263453e-05,9321023
"130","2020/09/07",35,0,8792,70,413,413,626,0.000943244105287585,3.75495264843784e-06,4.43084412515665e-05,4.43084412515665e-05,6.71600102263453e-05,9321023
"131","2020/09/08",32,0,8824,70,411,411,621,0.000946677204851871,3.43309956428602e-06,4.40938725287986e-05,4.40938725287986e-05,6.66235884194256e-05,9321023
"132","2020/09/09",36,0,8860,70,411,411,619,0.000950539441861693,3.86223700982178e-06,4.40938725287986e-05,4.40938725287986e-05,6.64090196966578e-05,9321023
"133","2020/09/10",39,1,8899,71,418,418,622,0.000954723531955666,4.18409009397359e-06,4.48448630584862e-05,4.48448630584862e-05,6.67308727808096e-05,9321023
