"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"106","2020/06/19",8,0,1511,109,26,26,38,0.000726125326059586,3.84447558469668e-06,1.24945456502642e-05,1.24945456502642e-05,1.82612590273092e-05,2080908
"107","2020/06/20",2,0,1513,109,28,28,38,0.00072708644495576,9.6111889617417e-07,1.34556645464384e-05,1.34556645464384e-05,1.82612590273092e-05,2080908
"108","2020/06/21",6,0,1519,109,34,34,44,0.000729969801644282,2.88335668852251e-06,1.63390212349609e-05,1.63390212349609e-05,2.11446157158317e-05,2080908
"109","2020/06/22",1,0,1520,109,34,34,43,0.000730450361092369,4.80559448087085e-07,1.63390212349609e-05,1.63390212349609e-05,2.06640562677447e-05,2080908
"110","2020/06/23",1,0,1521,109,33,33,42,0.000730930920540456,4.80559448087085e-07,1.58584617868738e-05,1.58584617868738e-05,2.01834968196576e-05,2080908
"111","2020/06/24",13,2,1534,111,46,46,50,0.000737178193365589,6.24727282513211e-06,2.21057346120059e-05,2.21057346120059e-05,2.40279724043543e-05,2080908
"112","2020/06/25",7,0,1541,111,51,51,56,0.000740542109502198,3.3639161366096e-06,2.45085318524413e-05,2.45085318524413e-05,2.69113290928768e-05,2080908
"113","2020/06/26",6,0,1547,111,55,55,62,0.000743425466190721,2.88335668852251e-06,2.64307696447897e-05,2.64307696447897e-05,2.97946857813993e-05,2080908
"114","2020/06/27",11,0,1558,111,63,63,73,0.000748711620119678,5.28615392895794e-06,3.02752452294864e-05,3.02752452294864e-05,3.50808397103572e-05,2080908
"115","2020/06/28",14,0,1572,111,76,76,86,0.000755439452392898,6.72783227321919e-06,3.65225180546185e-05,3.65225180546185e-05,4.13281125354893e-05,2080908
"116","2020/06/29",9,0,1581,111,82,82,93,0.000759764487425682,4.32503503278377e-06,3.9405874743141e-05,3.9405874743141e-05,4.46920286720989e-05,2080908
"117","2020/06/30",4,0,1585,111,82,82,97,0.00076168672521803,1.92223779234834e-06,3.9405874743141e-05,3.9405874743141e-05,4.66142664644473e-05,2080908
"118","2020/07/01",15,0,1600,111,89,89,110,0.000768895116939336,7.20839172130628e-06,4.27697908797506e-05,4.27697908797506e-05,5.28615392895794e-05,2080908
"119","2020/07/02",13,0,1613,111,100,100,121,0.000775142389764468,6.24727282513211e-06,4.80559448087085e-05,4.80559448087085e-05,5.81476932185373e-05,2080908
"120","2020/07/03",20,0,1633,111,114,114,138,0.00078475357872621,9.6111889617417e-06,5.47837770819277e-05,5.47837770819277e-05,6.63172038360177e-05,2080908
"121","2020/07/04",16,0,1649,111,129,129,153,0.000792442529895603,7.68895116939336e-06,6.1992168803234e-05,6.1992168803234e-05,7.3525595557324e-05,2080908
"122","2020/07/05",30,0,1679,111,158,158,180,0.000806859313338216,1.44167834426126e-05,7.59283927977594e-05,7.59283927977594e-05,8.65007006556753e-05,2080908
"123","2020/07/06",21,0,1700,111,166,166,197,0.000816951061748045,1.00917484098288e-05,7.97728683824561e-05,7.97728683824561e-05,9.46702112731558e-05,2080908
"124","2020/07/07",16,0,1716,111,175,175,205,0.000824640012917438,7.68895116939336e-06,8.40979034152399e-05,8.40979034152399e-05,9.85146868578524e-05,2080908
"125","2020/07/08",23,0,1739,111,192,192,226,0.000835692880223441,1.1052867306003e-05,9.22674140327203e-05,9.22674140327203e-05,0.000108606435267681,2080908
"126","2020/07/09",24,0,1763,111,205,205,244,0.000847226306977531,1.153342675409e-05,9.85146868578524e-05,9.85146868578524e-05,0.000117256505333249,2080908
"127","2020/07/10",13,0,1776,111,204,204,256,0.000853473579802663,6.24727282513211e-06,9.80341274097654e-05,9.80341274097654e-05,0.000123023218710294,2080908
"128","2020/07/11",17,0,1793,111,212,212,272,0.000861643090420144,8.16951061748045e-06,0.000101878602994462,0.000101878602994462,0.000130712169879687,2080908
"129","2020/07/12",34,0,1827,111,242,242,293,0.000877982111655104,1.63390212349609e-05,0.000116295386437075,0.000116295386437075,0.000140803918289516,2080908
"130","2020/07/13",14,0,1841,111,241,241,300,0.000884709943928324,6.72783227321919e-06,0.000115814826988988,0.000115814826988988,0.000144167834426126,2080908
"131","2020/07/14",8,0,1849,111,236,236,302,0.00088855441951302,3.84447558469668e-06,0.000113412029748552,0.000113412029748552,0.0001451289533223,2080908
"132","2020/07/15",10,0,1859,111,226,226,301,0.000893360013993891,4.80559448087085e-06,0.000108606435267681,0.000108606435267681,0.000144648393874213,2080908
"133","2020/07/16",19,0,1878,111,229,229,306,0.000902490643507546,9.13062951365462e-06,0.000110048113611942,0.000110048113611942,0.000147051191114648,2080908
"134","2020/07/17",19,0,1897,111,218,218,316,0.0009116212730212,9.13062951365462e-06,0.000104761959682985,0.000104761959682985,0.000151856785595519,2080908
"135","2020/07/18",19,0,1916,111,216,216,331,0.000920751902534855,9.13062951365462e-06,0.00010380084078681,0.00010380084078681,0.000159065177316825,2080908
"136","2020/07/19",24,0,1940,111,224,224,340,0.000932285329288945,1.153342675409e-05,0.000107645316371507,0.000107645316371507,0.000163390212349609,2080908
"137","2020/07/20",6,0,1946,111,207,207,333,0.000935168685977468,2.88335668852251e-06,9.94758057540266e-05,9.94758057540266e-05,0.000160026296212999,2080908
