"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_symptom","p_symptom_high","p_symptom_low"
2020-07-06,43993643,2506,0.7183,0.928906007678279,0.83254366079881,1.02526835455775,18.000598,NA,0.925982238187313,0.872667148724354,0.979297327650271,407373.320111536,29398045.8420759,408659.592823535,29832537.9742903,1000,0.925982238187313,0.979297327650271,0.872667148724354
2020-07-07,43993643,2650,0.7925,0.940780522828002,0.843967564232123,1.03759348142388,21.00125,NA,0.941431991612724,0.886900209660232,0.995963773565217,414170.229477892,29812216.0715538,413883.624626485,30246421.5989168,1000,0.941431991612724,0.995963773565217,0.886900209660232
2020-07-08,43993643,2492,0.8828,0.953187820377398,0.855957434092915,1.05041820666188,21.999376,NA,0.957401793972485,0.901595963626296,1.01320762431867,421195.927315851,30233411.9988697,419342.046816314,30665763.6457331,1000,0.957401793972485,1.01320762431867,0.901595963626296
2020-07-09,43993643,2214,1.0388,0.96613149459291,0.868543644383313,1.06371934480251,22.999032,NA,0.973864063768537,0.916787153534625,1.03094097400245,428438.279519622,30661850.2783893,425036.440641769,31090800.0863749,1000,0.973864063768537,1.03094097400245,0.916787153534625
2020-07-10,43993643,2350,0.8511,0.979602778919243,0.881685510251998,1.07752004758649,20.00085,NA,0.990788810155941,0.932509299358346,1.04906832095354,435884.092023952,31097734.3704133,430962.949375811,31521763.0357507,1000,0.990788810155941,1.04906832095354,0.932509299358346
2020-07-11,43993643,2156,0.6494,0.993590405888226,0.895328040618504,1.09185277115795,14.001064,NA,1.00814343277229,0.94879850479487,1.06748836074971,443519.022741787,31541253.3931551,437116.616048717,31958879.6517994,1000,1.00814343277229,1.06748836074971,0.94879850479487
2020-07-12,43993643,2395,0.8351,1.00808228076614,0.909424382363676,1.10674017916861,20.000645,NA,1.02589256183548,0.965689225726222,1.08609589794474,451327.511217455,31992580.9043725,443492.119746515,32402371.771546,1000,1.02589256183548,1.08609589794474,0.965689225726222
2020-07-13,43993643,2339,0.9833,1.02306536629093,0.923946311610437,1.12218442097142,22.999387,NA,1.04400878014255,0.983206791748356,1.10481076853675,459297.49562457,32451878.3999971,450083.724902673,32852455.4964486,1000,1.04400878014255,1.10481076853675,0.983206791748356
2020-07-14,43993643,2462,0.9342,1.03852556793427,0.938890104581033,1.13816103128752,23.000004,NA,1.06248960804665,1.00135568679534,1.12362352929796,467427.885076143,32919306.2850732,456885.230820727,33309340.7272693,1000,1.06248960804665,1.12362352929796,1.00135568679534
2020-07-15,43993643,2456,1.0586,1.05444761992807,0.95427669841688,1.15461854143926,25.999216,NA,1.08133618992416,1.02012753191427,1.14254484793405,475719.183025038,33395025.4680983,463889.921533152,33773230.6488025,1000,1.08133618992416,1.14254484793405,1.02012753191427
