"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"91",2020-07-06,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"92",2020-07-07,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"93",2020-07-08,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"94",2020-07-09,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"95",2020-07-10,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"96",2020-07-11,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"97",2020-07-12,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"98",2020-07-13,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"99",2020-07-14,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"100",2020-07-15,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"101",2020-07-16,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"102",2020-07-17,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"103",2020-07-18,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"104",2020-07-19,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"105",2020-07-20,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"106",2020-07-21,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"107",2020-07-22,0.0037037037037037,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"108",2020-07-23,0.00240963855421687,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"109",2020-07-24,0.0027027027027027,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"110",2020-07-25,0.0027027027027027,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"111",2020-07-26,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"112",2020-07-27,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"113",2020-07-28,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"114",2020-07-29,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"115",2020-07-30,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"116",2020-07-31,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"117",2020-08-01,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"118",2020-08-02,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"119",2020-08-03,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"120",2020-08-04,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"121",2020-08-05,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"122",2020-08-06,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"123",2020-08-07,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"124",2020-08-08,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"125",2020-08-09,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"126",2020-08-10,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"127",2020-08-11,0,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
