"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"31","ES","ESCT","ESB",5664579,0.0421052631578947,0.047037037037037,0.00536193029490617,0.0025,380,9,7675217,0.0568927789934354,0.0656289949680403,0.00656455142231947,0.00522222222222222,1371,30,0.0310751591093365,0.0347149809864949,0.00395729237987529,0.00184508757211685,380,380,0.0512898689100787,0.058920071316991,0.00599872707273136,0.00448932035640838,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"32","ES","ESCT","ESL",434930,0,0,0,0,0,0,7675217,0.0568927789934354,0.0656289949680403,0.00656455142231947,0.00522222222222222,1371,30,0.0310751591093365,0.0347149809864949,0.00395729237987529,0.00184508757211685,380,380,0.0512898689100787,0.058920071316991,0.00599872707273136,0.00448932035640838,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"33","ES","ESCT","EST",804664,0,0,0,0,0,0,7675217,0.0568927789934354,0.0656289949680403,0.00656455142231947,0.00522222222222222,1371,30,0.0310751591093365,0.0347149809864949,0.00395729237987529,0.00184508757211685,380,380,0.0512898689100787,0.058920071316991,0.00599872707273136,0.00448932035640838,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"34","ES","ESCT","ESGI",771044,0,0,0,0,0,0,7675217,0.0568927789934354,0.0656289949680403,0.00656455142231947,0.00522222222222222,1371,30,0.0310751591093365,0.0347149809864949,0.00395729237987529,0.00184508757211685,380,380,0.0512898689100787,0.058920071316991,0.00599872707273136,0.00448932035640838,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"35","ES","ESEX","ESCC",394151,0,0,0,0,0,0,1067710,0.0246913580246914,0.0376111111111111,0,0,1701,30,0,0,0,0,0,0,0.0246913580246914,0.0376111111111111,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"36","ES","ESEX","ESBA",673559,0,0,0,0,0,0,1067710,0.0246913580246914,0.0376111111111111,0,0,1701,30,0,0,0,0,0,0,0.0246913580246914,0.0376111111111111,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"37","ES","ESGA","ESLU",329587,0.025,0.025,0,0,40,1,2699499,0.025844930417495,0.0326886102403344,0.00153727901614143,0.0048227634434531,1509,30,0.0590797602769546,0.0455228235560253,0.00268615370139764,0.0038799997909077,305,305,0.031432925515144,0.0348465126996981,0.0017304470310274,0.00466425026041763,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"38","ES","ESGA","ESPO",942665,0.02,0.0216666666666667,0.00769230769230769,0.0111111111111111,150,4,2699499,0.025844930417495,0.0326886102403344,0.00153727901614143,0.0048227634434531,1509,30,0.0590797602769546,0.0455228235560253,0.00268615370139764,0.0038799997909077,305,305,0.031432925515144,0.0348465126996981,0.0017304470310274,0.00466425026041763,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"39","ES","ESGA","ESC",1119596,0.109090909090909,0.075,0,0,55,2,2699499,0.025844930417495,0.0326886102403344,0.00153727901614143,0.0048227634434531,1509,30,0.0590797602769546,0.0455228235560253,0.00268615370139764,0.0038799997909077,305,305,0.031432925515144,0.0348465126996981,0.0017304470310274,0.00466425026041763,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"40","ES","ESGA","ESOR",307651,0.0333333333333333,0.0333333333333333,0,0,60,1,2699499,0.025844930417495,0.0326886102403344,0.00153727901614143,0.0048227634434531,1509,30,0.0590797602769546,0.0455228235560253,0.00268615370139764,0.0038799997909077,305,305,0.031432925515144,0.0348465126996981,0.0017304470310274,0.00466425026041763,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"41","ES","ESIB","ESPM",1149460,0.036654620547238,0.0393888888888889,0.000966183574879227,0.000714285714285714,1937,30,1149460,0,0,0,0,0,0,0.036654620547238,0.0393888888888889,0.000966183574879227,0.000714285714285714,1937,1937,0.036654620547238,0.0393888888888889,0.000966183574879227,0.000714285714285714,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"42","ES","ESMC","ESMU",1493898,0.0182926829268293,0.0209484126984127,0,0,1640,30,1493898,0,0,0,0,0,0,0.0182926829268293,0.0209484126984127,0,0,1640,1640,0.0182926829268293,0.0209484126984127,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"43","ES","ESMD","ESM",6663394,0.127349909035779,0.113767574293661,0.00121654501216545,0.00103448275862069,1649,30,6663394,0,0,0,0,0,0,0.127349909035779,0.113767574293661,0.00121654501216545,0.00103448275862069,1649,1649,0.127349909035779,0.113767574293661,0.00121654501216545,0.00103448275862069,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"44","ES","ESML","ESML",86487,0,0,0,0,0,0,86487,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"45","ES","ESNC","ESNA",654214,0.0425925925925926,0.0457,0,0,1620,25,654214,0,0,0,0,0,0,0.0425925925925926,0.0457,0,0,1620,1620,0.0425925925925926,0.0457,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"46","ES","ESPV","ESSS",723576,0.0266666666666667,0.0277777777777778,0,0,150,3,2207776,0.0372305682560418,0.0353003341687552,0.00513196480938416,0.00311594202898551,1531,30,0.0665669733830597,0.0763672758462975,0.00928980307352858,0.00522086932732306,792,792,0.0472324765042545,0.0493016332684597,0.00654953170787852,0.00383359266190989,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"47","ES","ESPV","ESVI",331549,0.15,0.153333333333333,0,0,80,2,2207776,0.0372305682560418,0.0353003341687552,0.00513196480938416,0.00311594202898551,1531,30,0.0665669733830597,0.0763672758462975,0.00928980307352858,0.00522086932732306,792,792,0.0472324765042545,0.0493016332684597,0.00654953170787852,0.00383359266190989,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"48","ES","ESPV","ESBI",1152651,0.0676156583629893,0.0847307572996239,0.0177935943060498,0.01,562,10,2207776,0.0372305682560418,0.0353003341687552,0.00513196480938416,0.00311594202898551,1531,30,0.0665669733830597,0.0763672758462975,0.00928980307352858,0.00522086932732306,792,792,0.0472324765042545,0.0493016332684597,0.00654953170787852,0.00383359266190989,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"49","ES","ESRI","ESLO",316798,0.0669577874818049,0.0951610195360195,0.0128504672897196,0.0224489795918367,1374,24,316798,0,0,0,0,0,0,0.0669577874818049,0.0951610195360195,0.0128504672897196,0.0224489795918367,1374,1374,0.0669577874818049,0.0951610195360195,0.0128504672897196,0.0224489795918367,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"50","ES","ESVC","ESA",1858683,0.0703125,0.109444444444444,0,0,384,6,5003769,0.028452874925904,0.0384719177526083,0,0,1687,30,0.0517879249870512,0.0731655310550018,0,0,2414,2414,0.0421887468711879,0.0588938593551389,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"51","ES","ESVC","ESCS",579962,0.12,0.12,0,0,25,1,5003769,0.028452874925904,0.0384719177526083,0,0,1687,30,0.0517879249870512,0.0731655310550018,0,0,2414,2414,0.0421887468711879,0.0588938593551389,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"52","ES","ESVC","ESV",2565124,0.0229426433915212,0.0362888686193034,0,0,2005,25,5003769,0.028452874925904,0.0384719177526083,0,0,1687,30,0.0517879249870512,0.0731655310550018,0,0,2414,2414,0.0421887468711879,0.0588938593551389,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
