"date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","cases_infect","cases_symptom","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","p_infect","p_symptom","population"
"2020/05/01",37,0,1275,14,45.9027708875833,758.549268453688,284.549268453688,758.549268453688,1082.51163872093,6.15084226478218e-05,5.34999496931622e-05,7.07156937216076e-05,2.21443688820361e-06,2.94965362954029e-05,1.10648288434636e-05,2.94965362954029e-05,4.2093961684016e-05,25716554
"2020/05/02",58,1,1333,15,73.8067805529097,761.839537232189,275.839537232189,761.839537232189,1066.37229069434,6.59607590510662e-05,5.79047215092618e-05,7.51375988207958e-05,3.6521764954129e-06,2.96244799062965e-05,1.07261469492448e-05,2.96244799062965e-05,4.14663757319251e-05,25716554
"2020/05/03",29,0,1362,15,35.3804077123283,746.519998571381,263.519998571381,746.519998571381,1101.75269840667,6.46143782880235e-05,5.67173735443412e-05,7.36109170902247e-05,1.67847507188611e-06,2.90287726174891e-05,1.02470960367155e-05,2.90287726174891e-05,4.28421591169124e-05,25716554
"2020/05/04",36,2,1398,17,47.775396334717,723.246245519759,241.246245519759,723.246245519759,1110.04216828701,7.21433319175725e-05,6.43015231447289e-05,8.09414782983361e-05,2.4654336732969e-06,2.81237620530246e-05,9.3809709310104e-06,2.81237620530246e-05,4.31644989560813e-05,25716554
"2020/05/05",34,0,1432,17,43.3714739230821,696.984831556582,216.984831556582,696.984831556582,1109.58441715717,7.10322398216083e-05,6.33059442244556e-05,7.97015060100047e-05,2.15137774938617e-06,2.71025749233969e-05,8.43755471890138e-06,2.71025749233969e-05,4.31466990933998e-05,25716554
"2020/05/06",32,1,1464,18,41.6116285923358,644.191497034937,184.191497034937,644.191497034937,1087.05521682183,7.40274924898322e-05,6.63943723780371e-05,8.25381647277223e-05,2.10410145021095e-06,2.50496818910861e-05,7.16237086177787e-06,2.50496818910861e-05,4.22706408028787e-05,25716554
"2020/05/07",52,0,1516,18,65.2070391162663,584.633745172393,145.633745172393,584.633745172393,1065.70199468533,7.39226564548056e-05,6.62957370065595e-05,8.24270063819418e-05,3.17960260621822e-06,2.27337513872346e-05,5.66303499187305e-06,2.27337513872346e-05,4.144031096411e-05,25716554
"2020/05/08",55,2,1571,20,73.9981375634606,603.843371042667,143.843371042667,603.843371042667,1069.18362047438,8.21904790567597e-05,7.45127197202352e-05,9.06593514898255e-05,3.87138279799416e-06,2.3480726501796e-05,5.59341547248778e-06,2.3480726501796e-05,4.15756955801457e-05,25716554
"2020/05/09",31,0,1602,20,40.3020648245362,584.83282455993,132.83282455993,584.83282455993,1058.78573892578,8.0987005677489e-05,7.3417114213304e-05,8.93374134748692e-05,2.03741794803948e-06,2.27414926805485e-05,5.16526532131523e-06,2.27414926805485e-05,4.11713691860029e-05,25716554
"2020/05/10",65,1,1667,21,85.7872543095985,650.485879845429,147.485879845429,650.485879845429,1073.52384384904,8.55524080739234e-05,7.79140452070941e-05,9.39396036721334e-05,4.40270317230726e-06,2.52944418542791e-05,5.73505609831818e-06,2.52944418542791e-05,4.17444671571875e-05,25716554
"2020/05/11",33,0,1700,21,42.1329862853329,666.703125119694,149.703125119694,666.703125119694,1046.02394224811,8.44003894252211e-05,7.6860607117623e-05,9.26798005150765e-05,2.09178850007623e-06,2.59250568765821e-05,5.82127469799001e-06,2.59250568765821e-05,4.06751208675981e-05,25716554
"2020/05/12",30,0,1730,21,37.0682247232309,632.344164825382,140.344164825382,632.344164825382,988.687203857362,8.31215939367168e-05,7.5692009890207e-05,9.12804322226664e-05,1.78102307710946e-06,2.45889929430429e-05,5.45734723343499e-06,2.45889929430429e-05,3.8445555491508e-05,25716554
"2020/05/13",127,0,1857,21,151.998670513991,738.440064451789,156.440064451789,738.440064451789,1015.92108339254,8.64241663675128e-05,7.86955496896694e-05,9.49118032947677e-05,7.07396789883786e-06,2.87145806725034e-05,6.08324367455255e-06,2.87145806725034e-05,3.95045573910308e-05,25716554
"2020/05/14",55,3,1912,24,72.8772285870029,737.510512485882,158.510512485882,737.510512485882,1034.00980028636,9.85154338247719e-05,9.07537531199431e-05,0.000106940929361414,3.75498524591823e-06,2.86784346178684e-05,6.16375399619569e-06,2.86784346178684e-05,4.02079454458152e-05,25716554
"2020/05/15",59,0,1971,24,75.6487727215044,777.778877495059,168.778877495058,777.778877495059,1050.34596170059,9.8270626847347e-05,9.05239483862672e-05,0.000106680235154607,3.77171604037276e-06,3.02442884647398e-05,6.56304408028612e-06,3.02442884647398e-05,4.08431845767746e-05,25716554
"2020/05/16",46,0,2017,24,57.0372218329916,787.040702993333,168.040702993333,787.040702993333,1087.24898450948,9.72509063001277e-05,8.95802747615043e-05,0.000105578363109247,2.7500850352503e-06,3.06044387981894e-05,6.53433982614207e-06,3.06044387981894e-05,4.22781755483057e-05,25716554
"2020/05/17",44,1,2061,25,54.9589619414083,798.628191011659,169.628191011659,798.628191011659,1116.29220543982,0.000100103915167959,9.25057707232915e-05,0.000108326148234889,2.66938731872966e-06,3.10550235856507e-05,6.59607002600968e-06,3.10550235856507e-05,4.34075345180316e-05,25716554
"2020/05/18",48,2,2109,27,62.6579018365968,819.67446425592,174.67446425592,819.67446425592,1107.52292225888,0.000107052895265263,9.94990914394238e-05,0.000115180171184302,3.18051673914382e-06,3.18734175759287e-05,6.79229667613788e-06,3.18734175759287e-05,4.30665369185497e-05,25716554
"2020/05/19",10,1,2119,28,13.1117201061246,767.579145245778,164.579145245778,767.579145245778,1074.73187147742,0.000108038327782478,0.00010067157903492,0.000115944146122764,6.68507935166395e-07,2.98476671970039e-05,6.39973556510637e-06,2.98476671970039e-05,4.1791441865711e-05,25716554
"2020/05/20",34,0,2153,28,43.2378791854585,736.818886867776,154.818886867776,736.818886867776,1044.16297010997,0.000106467418391387,9.92040018175815e-05,0.000114262640329474,2.13814462312795e-06,2.86515404384186e-05,6.02020344046781e-06,2.86515404384186e-05,4.06027561122679e-05,25716554
"2020/05/21",78,1,2231,29,99.82534891497,796.34217095821,167.34217095821,796.34217095821,1108.60791131261,0.000111028131584086,0.000103699943746338,0.000118874182161631,4.96791661800027e-06,3.09661306471392e-05,6.5071770874982e-06,3.09661306471392e-05,4.31087272156529e-05,25716554
"2020/05/22",0,0,2231,29,0,710.554916648612,146.554916648612,710.554916648612,1060.83251497789,0.00010802277481477,0.000100889667612388,0.000115660207381332,0,2.76302539076041e-05,5.69885516732186e-06,2.76302539076041e-05,4.12509590117669e-05,25716554
"2020/05/23",70,0,2301,29,84.8867841974667,753.308714560745,152.308714560745,753.308714560745,1102.34782525228,0.000108504034537648,0.000101336092735376,0.000116178995984095,4.00285031045277e-06,2.92927549531226e-05,5.92259423874386e-06,2.92927549531226e-05,4.28653008973238e-05,25716554
"2020/05/24",65,1,2366,30,79.5039176595031,795.744407497018,159.744407497018,795.744407497018,1140.24011431944,0.000112532285733381,0.000105332321672696,0.000120224401506397,3.78138528274826e-06,3.09428863407211e-05,6.21173456976458e-06,3.09428863407211e-05,4.43387599411431e-05,25716554
